 2023-10-16 03:02:03,176 - asdfasdf
 2023-10-16 03:02:22,700 - a
 2023-10-16 03:02:48,767 - asdfklj y
 2023-10-16 03:02:56,501 - ouoihi!y
 2023-10-16 03:02:59,784 - ouA
 2023-10-16 03:03:07,989 - REducked
 2023-10-16 06:15:24,598 - dfsllclslfdfdsfs
 2023-10-16 06:15:37,611 - sdfsds
 2023-10-16 06:15:45,267 - fdf
 2023-10-16 06:17:54,979 - 'd'
 2023-10-16 06:17:55,078 - 'f'
 2023-10-16 06:17:55,646 - 's'
 2023-10-16 06:17:55,926 - 's'
 2023-10-16 06:17:56,154 - 's'
 2023-10-16 06:17:56,431 - 'd'
 2023-10-16 06:17:56,520 - 'f'
 2023-10-16 06:17:56,599 - 'a'
 2023-10-16 06:17:56,690 - 's'
 2023-10-16 06:17:56,714 - 'd'
 2023-10-16 06:17:56,739 - 'f'
 2023-10-16 06:17:58,266 - Key.esc
 2023-10-16 06:17:58,985 - Key.ctrl_l
 2023-10-16 06:17:59,066 - '\x03'
 2023-10-16 06:18:00,810 - Key.ctrl_l
 2023-10-16 06:18:00,934 - '\x03'
